,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid
1379,2859,2724,BSK_BF4T_IL8,1,1,"Data from the assay component BSK_BF4T_IL8 was analyzed at the endpoint, BSK_BF4T_IL8, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'interleukins'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,164,0
1380,2861,2725,BSK_BF4T_IL1a,1,1,"Data from the assay component BSK_BF4T_IL1a was analyzed at the endpoint, BSK_BF4T_IL1a, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'interleukins'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,164,0
1381,2863,2726,BSK_BF4T_Keratin818,1,1,"Data from the assay component BSK_BF4T_Keratin818 was analyzed at the endpoint, BSK_BF4T_Keratin818, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell adhesion molecules' intended target family, where the subfamily is 'keratin'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,keratin,0,0,1,164,0
1382,2865,2727,BSK_BF4T_MMP1,1,1,"Data from the assay component BSK_BF4T_MMP1 was analyzed at the endpoint, BSK_BF4T_MMP1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'protease' intended target family, where the subfamily is 'matrix metalloproteinase'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,protease,matrix metalloproteinase,0,0,1,164,0
1383,2867,2728,BSK_BF4T_MMP3,1,1,"Data from the assay component BSK_BF4T_MMP3 was analyzed at the endpoint, BSK_BF4T_MMP3, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'protease' intended target family, where the subfamily is 'matrix metalloproteinase'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,protease,matrix metalloproteinase,0,0,1,164,0
1384,2869,2729,BSK_BF4T_MMP9,1,1,"Data from the assay component BSK_BF4T_MMP9 was analyzed at the endpoint, BSK_BF4T_MMP9, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'protease' intended target family, where the subfamily is 'matrix metalloproteinase'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,protease,matrix metalloproteinase,0,0,1,164,0
1385,2871,2730,BSK_BF4T_PAI1,1,1,"Data from the assay component BSK_BF4T_PAI1 was analyzed at the endpoint, BSK_BF4T_PAI1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'plasmogen activator inhibitor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,plasmogen activator inhibitor,0,0,1,164,0
1386,2873,2731,BSK_BF4T_SRB,1,1,"Data from the assay component BSK_BF4T_SRB  was analyzed at the endpoint, BSK_BF4T_SRB, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of  viability reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell morphology' intended target family, where the subfamily is 'cell conformation'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-unspecified,cell morphology,cell conformation,0,0,1,164,0
1387,2875,2732,BSK_BF4T_tPA,1,1,"Data from the assay component BSK_BF4T_tPA was analyzed at the endpoint, BSK_BF4T_tPA, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'protease' intended target family, where the subfamily is 'serine protease'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,protease,serine protease,0,0,1,164,0
1388,2877,2733,BSK_BF4T_uPA,1,1,"Data from the assay component BSK_BF4TA was analyzed at the endpoint, BSK_BF4TA, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'protease' intended target family, where the subfamily is 'serine protease'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,protease,serine protease,0,0,1,164,0
1389,2879,2734,BSK_BE3C_ICAM1,1,1,"Data from the assay component BSK_BE3C_ICAM1 was analyzed at the endpoint, BSK_BE3C_ICAM1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell adhesion molecules' intended target family, where the subfamily is 'Immunoglobulin CAM'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,Immunoglobulin CAM,0,0,1,238,0
1390,2881,2735,BSK_BE3C_ITAC,1,1,"Data from the assay component BSK_BE3C_ITAC was analyzed at the endpoint, BSK_BE3C_ITAC, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'chemotactic factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,238,0
1391,2883,2736,BSK_BE3C_IL8,1,1,"Data from the assay component BSK_BE3C_IL8 was analyzed at the endpoint, BSK_BE3C_IL8, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'interleukins'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,238,0
1392,2885,2737,BSK_BE3C_EGFR,1,1,"Data from the assay component BSK_BE3C_EGFR was analyzed at the endpoint, BSK_BE3C_EGFR, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'kinase' intended target family, where the subfamily is 'receptor tyrosine kinase'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,receptor,kinase,receptor tyrosine kinase,0,0,1,238,0
1393,2887,2738,BSK_BE3C_Keratin818,1,1,"Data from the assay component BSK_BE3C_Keratin818 was analyzed at the endpoint, BSK_BE3C_Keratin818, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell adhesion molecules' intended target family, where the subfamily is 'keratin'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,keratin,0,0,1,238,0
1394,2889,2739,BSK_BE3C_MMP9,1,1,"Data from the assay component BSK_BE3C_MMP9 was analyzed at the endpoint, BSK_BE3C_MMP9, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'protease' intended target family, where the subfamily is 'matrix metalloproteinase'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,protease,matrix metalloproteinase,0,0,1,238,0
1395,2891,2740,BSK_CASM3C_PAI1,1,1,"Data from the assay component BSK_CASM3C_PAI1 was analyzed at the endpoint, BSK_CASM3C_PAI1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'plasmogen activator inhibitor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,plasmogen activator inhibitor,0,0,1,238,0
1396,2893,2741,BSK_hDFCGF_MCP1,1,1,"Data from the assay component BSK_hDFCGF_MCP1 was analyzed at the endpoint, BSK_hDFCGF_MCP1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'chemotactic factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,238,0
1397,2895,2742,BSK_hDFCGF_ICAM1,1,1,"Data from the assay component BSK_hDFCGF_ICAM1 was analyzed at the endpoint, BSK_hDFCGF_ICAM1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell adhesion molecules' intended target family, where the subfamily is 'Immunoglobulin CAM'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,Immunoglobulin CAM,0,0,1,238,0
1398,2897,2743,BSK_hDFCGF_CollagenI,1,1,"Data from the assay component BSK_hDFCGF_CollagenI was analyzed at the endpoint, BSK_hDFCGF_CollagenI, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell adhesion molecules' intended target family, where the subfamily is 'collagen'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,collagen,0,0,1,238,0
1399,2899,2744,BSK_hDFCGF_ITAC,1,1,"Data from the assay component BSK_hDFCGF_ITAC was analyzed at the endpoint, BSK_hDFCGF_ITAC, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'chemotactic factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,238,0
1400,2901,2745,BSK_hDFCGF_TIMP2,1,1,"Data from the assay component BSK_hDFCGF_TIMP2 was analyzed at the endpoint, BSK_hDFCGF_TIMP2, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'protease' intended target family, where the subfamily is 'matrix metalloproteinase'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,protease,matrix metalloproteinase,0,0,1,238,0
1401,2903,2746,BSK_KF3CT_IL8,1,1,"Data from the assay component BSK_KF3CT_IL8 was analyzed at the endpoint, BSK_KF3CT_IL8, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'interleukins'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,238,0
1402,2905,2747,BSK_KF3CT_MIG,1,1,"Data from the assay component BSK_KF3CT_MIG was analyzed at the endpoint, BSK_KF3CT_MIG, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'chemotactic factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,238,0
1403,2907,2748,BSK_KF3CT_PAI1,1,1,"Data from the assay component BSK_KF3CT_PAI1 was analyzed at the endpoint, BSK_KF3CT_PAI1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'plasmogen activator inhibitor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,plasmogen activator inhibitor,0,0,1,238,0
1404,2909,2749,BSK_IMphg_MCP1,1,1,"Data from the assay component BSK_IMphg_MCP1 was analyzed at the endpoint, BSK_IMphg_MCP1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'chemotactic factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,164,0
1405,2911,2750,BSK_IMphg_MIP1a,1,1,"Data from the assay component BSK_IMphg_MIP1a was analyzed at the endpoint, BSK_IMphg_MIP1a, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'inflammatory factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,inflammatory factor,0,0,1,164,0
1406,2913,2751,BSK_IMphg_VCAM1,1,1,"Data from the assay component BSK_IMphg_VCAM1 was analyzed at the endpoint, BSK_IMphg_VCAM1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell adhesion molecules' intended target family, where the subfamily is 'Immunoglobulin CAM'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,Immunoglobulin CAM,0,0,1,164,0
1407,2915,2752,BSK_IMphg_CD40,1,1,"Data from the assay component BSK_IMphg_CD40 was analyzed at the endpoint, BSK_IMphg_CD40, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'inflammatory factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,inflammatory factor,0,0,1,164,0
1408,2917,2753,BSK_IMphg_ESelectin,1,1,"Data from the assay component BSK_IMphg_ESelectin was analyzed at the endpoint, BSK_IMphg_ESelectin, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell adhesion molecules' intended target family, where the subfamily is 'selectins'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,selectins,0,0,1,164,0
1409,2919,2754,BSK_IMphg_CD69,1,1,"Data from the assay component BSK_IMphg_CD69 was analyzed at the endpoint, BSK_IMphg_CD69, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'inflammatory factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,inflammatory factor,0,0,1,164,0
1410,2921,2755,BSK_IMphg_IL8,1,1,"Data from the assay component BSK_IMphg_IL8 was analyzed at the endpoint, BSK_IMphg_IL8, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'interleukins'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,164,0
1411,2923,2756,BSK_IMphg_IL1a,1,1,"Data from the assay component BSK_IMphg_IL1a was analyzed at the endpoint, BSK_IMphg_IL1a, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'interleukins'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,164,0
1412,2925,2757,BSK_IMphg_MCSF,1,1,"Data from the assay component BSK_IMphg_MCSF was analyzed at the endpoint, BSK_IMphg_MCSF, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'colony stimulating factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,colony stimulating factor,0,0,1,164,0
1413,2927,2758,BSK_IMphg_IL10,1,1,"Data from the assay component BSK_IMphg_IL10 was analyzed at the endpoint, BSK_IMphg_IL10, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'interleukins'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,164,0
1414,2929,2759,BSK_IMphg_SRB,1,1,"Data from the assay component BSK_IMphg_SRB  was analyzed at the endpoint, BSK_IMphg_SRB, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of  viability reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell morphology' intended target family, where the subfamily is 'cell conformation'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-unspecified,cell morphology,cell conformation,0,0,1,164,0
1415,2931,2760,BSK_IMphg_SRB.Mphg,1,1,"Data from the assay component BSK_IMphg_SRB.Mphg  was analyzed at the endpoint, BSK_IMphg_SRB.Mphg, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of  viability reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cell morphology' intended target family, where the subfamily is 'cell conformation'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-unspecified,cell morphology,cell conformation,0,0,1,164,0
1416,2933,2761,BSK_LPS_Thrombomodulin,1,1,"Data from the assay component BSK_LPS_Thrombodulin was analyzed at the endpoint, BSK_LPS_Thrombomodulin, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'gpcr' intended target family, where the subfamily is 'rhodopsin-like receptor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,gpcr,rhodopsin-like receptor,0,0,1,238,0
1417,2935,2762,BSK_LPS_CD69,1,1,"Data from the assay component BSK_LPS_CD69 was analyzed at the endpoint, BSK_LPS_CD69, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of binding reporter, gain or loss-of-signal activity can be used to understand protein changes. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the 'cytokine' intended target family, where the subfamily is 'inflammatory factor'.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,inflammatory factor,0,0,1,238,0
1418,2938,2763,IUF_NPC2a_radial_glia_migration_72hr,1,1,"Data from the IUF_NPC2a_radial_glia_migration_72hr component was analyzed at the endpoint IUF_NPC2a_radial_glia_migration_72hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of migration reporter, gain or loss-of-signal activity can be used to understand developmental effects.",developmental,percent_activity,0,SRC kinase inhibitor PP2,bidirectional,cellular,cellular,neurodevelopment,neural progenitor cell migration,1,0,1,124,2240
1419,2940,2764,IUF_NPC2a_radial_glia_migration_120hr,1,1,"Data from the IUF_NPC2a_radial_glia_migration_120hr component was analyzed at the endpoint IUF_NPC2a_ radial_glia_migration_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of migration reporter, gain or loss-of-signal activity can be used to understand developmental effects.",developmental,percent_activity,0,NA,bidirectional,cellular,cellular,neurodevelopment,neural progenitor cell migration,1,0,1,124,2163
1420,2942,2765,IUF_NPC2b_neuronal_migration_120hr,1,1,"Data from the IUF_NPC2b_neuronal_migration_120hr component was analyzed at the endpoint IUF_NPC2b_neuronal_migration_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of migration reporter, gain or loss-of-signal activity can be used to understand developmental effects.",developmental,percent_activity,0,NA,bidirectional,cellular,cellular,neurodevelopment,neural progenitor cell migration,1,0,1,124,2066
1421,2944,2766,IUF_NPC2c_oligodendrocyte_migration_120hr,1,1,"Data from the IUF_NPC2c_oligodendrocyte_migration_120hr component was analyzed at the endpoint IUF_NPC2c_oligodendrocyte_migration_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of migration reporter, gain or loss-of-signal activity can be used to understand developmental effects.",developmental,percent_activity,0,NA,bidirectional,cellular,cellular,neurodevelopment,neural progenitor cell migration,1,0,1,124,2018
1422,2946,2767,IUF_NPC3_neuronal_differentiation_120hr,1,1,"Data from the IUF_NPC3_neuronal_differentiation_120hr component was analyzed at the endpoint IUF_NPC3_neuronal_differentiation_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of differentiation reporter, gain or loss-of-signal activity can be used to understand developmental effects.",developmental,percent_activity,0,EGF,bidirectional,cellular,cellular,neurodevelopment,neural progenitor differentiation,1,0,1,124,2069
1423,2948,2768,IUF_NPC4_neurite_length_120hr,1,1,"Data from the IUF_NPC4_neurite_length_120hr component was analyzed at the endpoint IUF_NPC4_neurite_length_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of differentiation reporter, gain or loss-of-signal activity can be used to understand developmental effects.",developmental,percent_activity,0,NA,bidirectional,cellular,cellular,neurodevelopment,neural progenitor differentiation,1,0,1,124,2039
1424,2950,2769,IUF_NPC4_neurite_area_120hr,1,1,"Data from the IUF_NPC4_neurite_area_120hr component was analyzed at the endpoint IUF_NPC4_neurite_area_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of differentiation reporter, loss-of-signal activity can be used to understand developmental effects.",developmental,percent_activity,0,NA,loss,cellular,cellular,neurodevelopment,neural progenitor differentiation,1,0,1,124,2038
1425,2952,2770,IUF_NPC5_oligodendrocyte_differentiation_120hr,1,1,"Data from the IUF_NPC5_oligodendrocyte_differentiation_120hr component was analyzed at the endpoint IUF_NPC5_oligodendrocyte_differentiation_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of differentiation reporter, loss-of-signal activity can be used to understand developmental effects.",developmental,percent_activity,0,BMP7,loss,cellular,cellular,neurodevelopment,neural progenitor differentiation,1,0,1,124,2009
1426,2954,2771,IUF_NPC2-5_cytotoxicity_72hr,1,1,"Data from the IUF_NPC2-5_cytotoxicity_72hr component was analyzed at the endpoint IUF_NPC2-5_cytotoxicity_72hr in the positive analysis fitting direction relative to the dynamic range and baseline of activity. Using a type of viability reporter, gain-of-signal activity can be used to understand cytotoxicity effects.",cytotoxicity,percent_activity,0,lysed cells,loss,cellular,enzyme activity,cell cycle,cytotoxicity,1,0,1,124,6700
1427,2956,2772,IUF_NPC2-5_cytotoxicity_120hr,1,1,"Data from the IUF_NPC2-5_cytotoxicity_120hr component was analyzed at the endpoint IUF_NPC2-5_cytotoxicity_120hr in the positive analysis fitting direction relative to the dynamic range and baseline of activity. Using a type of viability reporter, gain-of-signal activity can be used to understand cytotoxicity effects.",cytotoxicity,percent_activity,0,lysed cells,loss,cellular,enzyme activity,cell cycle,cytotoxicity,1,0,1,123,6503
1428,2958,2773,IUF_NPC2-5_cell_number_120hr,1,1,"Data from the IUF_NPC2-5_cell_number_120hr component was analyzed at the endpoint IUF_NPC2-5_cell_number_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of viability reporter, gain or loss-of-signal activity can be used to understand viability effects.",viability,percent_activity,0,EGF,bidirectional,cellular,cell count,cell cycle,viability,1,1,1,124,2164
1429,2960,2774,IUF-NPC2-5_viability_120hr,1,1,"Data from the IUF_NPC2-5_viability_120hr component was analyzed at the endpoint IUF-NPC2-5_viability_120hr in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of viability reporter, gain or loss-of-signal activity can be used to understand viability effects.",viability,percent_activity,0,lysed cells,bidirectional,cellular,mitochondria,cell cycle,viability,1,1,1,124,6692
1430,3019,2805,VALA_TUBHUV_Agonist_CellCount,1,1,"Data from the assay component VALA_TUBHUV_Agonist_CellCount was analyzed at the endpoint, VALA_TUBHUV_Agonist_CellCount, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of viability reporter, loss-of-signal activity can be used to understand viability. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cell count.",viability,log2_fold_induction,0,NA,loss,cellular,nucleus,cell cycle,cell count,0,1,1,47,277
1431,3020,2806,VALA_TUBHUV_Agonist_TubuleLength,1,1,"Data from the assay component VALA_TUBHUV_Agonist_TubuleLength was analyzed at the endpoint, VALA_TUBHUV_Agonist_TubuleLength, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of morphology reporter, gain-of-signal activity can be used to understand developmental effects. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the neurodevelopment intended target family, where the subfamily is tubulogenesis.",developmental,percent_activity,0,suramin,gain,cellular,morphology,neurodevelopment,tubulogenesis,0,0,1,47,344
1432,3021,2807,VALA_TUBHUV_Antagonist_CellCount,1,1,"Data from the assay component VALA_TUBHUV_Antagonist_CellCount was analyzed at the endpoint, VALA_TUBHUV_Antagonist_CellCount, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of viability reporter, loss-of-signal activity can be used to understand viability. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cell count.",viability,log2_fold_induction,0,NA,loss,cellular,nucleus,cell cycle,cell count,0,1,1,47,330
